29  -1.0751440000E+01  -4.3931600000E+00  -4.3931600000E+00  -4.1185700000E+00  -2.9881500000E+00  -9.7550000000E-02   9.6161500000E+00   1.4224030000E+01   1.4224030000E+01
30  -1.0610000000E+01  -4.3655100000E+00  -4.3655100000E+00  -4.2812400000E+00  -2.8843300000E+00  -7.4320000000E-02   9.6221900000E+00   1.4294420000E+01   1.4294420000E+01
31  -1.0466920000E+01  -4.4441100000E+00  -4.3342800000E+00  -4.3342800000E+00  -2.7771700000E+00  -5.8010000000E-02   9.6388600000E+00   1.4347000000E+01   1.4347000000E+01
32  -1.0322660000E+01  -4.6068500000E+00  -4.2992900000E+00  -4.2992900000E+00  -2.6667300000E+00  -4.8820000000E-02   9.6667800000E+00   1.4381300000E+01   1.4381300000E+01
33  -1.0177670000E+01  -4.7691800000E+00  -4.2604000000E+00  -4.2604000000E+00  -2.5530700000E+00  -4.6770000000E-02   9.7063600000E+00   1.4397010000E+01   1.4397010000E+01
34  -1.0032460000E+01  -4.9307900000E+00  -4.2174700000E+00  -4.2174700000E+00  -2.4362700000E+00  -5.1670000000E-02   9.7577700000E+00   1.4393930000E+01   1.4393930000E+01
35  -9.8876000000E+00  -5.0914100000E+00  -4.1703600000E+00  -4.1703600000E+00  -2.3163900000E+00  -6.3140000000E-02   9.8209700000E+00   1.4372000000E+01   1.4372000000E+01
36  -9.7436900000E+00  -5.2507800000E+00  -4.1189500000E+00  -4.1189500000E+00  -2.1935200000E+00  -8.0560000000E-02   9.8956600000E+00   1.4331260000E+01   1.4331260000E+01
37  -9.6013700000E+00  -5.4086600000E+00  -4.0631000000E+00  -4.0631000000E+00  -2.0677700000E+00  -1.0310000000E-01   9.9812900000E+00   1.4271890000E+01   1.4271890000E+01
38  -9.4613400000E+00  -5.5648100000E+00  -4.0027000000E+00  -4.0027000000E+00  -1.9392200000E+00  -1.2975000000E-01   1.0077110000E+01   1.4194150000E+01   1.4194150000E+01
39  -9.3243600000E+00  -5.7190200000E+00  -3.9376300000E+00  -3.9376300000E+00  -1.8080100000E+00  -1.5929000000E-01   1.0182140000E+01   1.4098400000E+01   1.4098400000E+01
40  -9.1912200000E+00  -5.8710900000E+00  -3.8677800000E+00  -3.8677800000E+00  -1.6742400000E+00  -1.9037000000E-01   1.0295220000E+01   1.3985080000E+01   1.3985080000E+01
41  -9.0627600000E+00  -6.0208300000E+00  -3.7930600000E+00  -3.7930600000E+00  -1.5380700000E+00  -2.2151000000E-01   1.0415030000E+01   1.3854710000E+01   1.3854710000E+01
42  -8.9398500000E+00  -6.1680600000E+00  -3.7133600000E+00  -3.7133600000E+00  -1.3996300000E+00  -2.5113000000E-01   1.0540110000E+01   1.3707880000E+01   1.3707880000E+01
43  -8.8233800000E+00  -6.3126200000E+00  -3.6286000000E+00  -3.6286000000E+00  -1.2591000000E+00  -2.7758000000E-01   1.0668900000E+01   1.3545230000E+01   1.3545230000E+01
44  -8.7142600000E+00  -6.4543500000E+00  -3.5386900000E+00  -3.5386900000E+00  -1.1166500000E+00  -2.9921000000E-01   1.0799780000E+01   1.3367440000E+01   1.3367440000E+01
45  -8.6133600000E+00  -6.5931300000E+00  -3.4435400000E+00  -3.4435400000E+00  -9.7247000000E-01  -3.1437000000E-01   1.0931040000E+01   1.3175260000E+01   1.3175260000E+01
46  -8.5215100000E+00  -6.7288000000E+00  -3.3431000000E+00  -3.3431000000E+00  -8.2676000000E-01  -3.2149000000E-01   1.1060990000E+01   1.2969430000E+01   1.2969430000E+01
47  -8.4394700000E+00  -6.8612600000E+00  -3.2372800000E+00  -3.2372800000E+00  -6.7976000000E-01  -3.1909000000E-01   1.1187920000E+01   1.2750740000E+01   1.2750740000E+01
48  -8.3678800000E+00  -6.9904000000E+00  -3.1260400000E+00  -3.1260400000E+00  -5.3169000000E-01  -3.0584000000E-01   1.1310150000E+01   1.2519990000E+01   1.2519990000E+01
49  -8.3072500000E+00  -7.1161100000E+00  -3.0093000000E+00  -3.0093000000E+00  -3.8282000000E-01  -2.8060000000E-01   1.1426060000E+01   1.2278000000E+01   1.2278000000E+01
50  -8.2579100000E+00  -7.2383100000E+00  -2.8870200000E+00  -2.8870200000E+00  -2.4244000000E-01  -2.3340000000E-01   1.1534110000E+01   1.2025560000E+01   1.2025560000E+01
51  -8.2200000000E+00  -7.3568900000E+00  -2.7591600000E+00  -2.7591600000E+00  -1.9069000000E-01  -8.3740000000E-02   1.1632830000E+01   1.1763510000E+01   1.1763510000E+01
52  -8.1934800000E+00  -7.4718000000E+00  -2.6256700000E+00  -2.6256700000E+00  -1.2492000000E-01   6.5870000000E-02   1.1492640000E+01   1.1492640000E+01   1.1720900000E+01
53  -8.1780700000E+00  -7.5829500000E+00  -2.4865200000E+00  -2.4865200000E+00  -4.4990000000E-02   2.1509000000E-01   1.1213740000E+01   1.1213740000E+01   1.1797120000E+01
54  -8.1733300000E+00  -7.6902900000E+00  -2.3416800000E+00  -2.3416800000E+00   4.9000000000E-02   3.6360000000E-01   1.0927610000E+01   1.0927610000E+01   1.1860450000E+01
55  -8.1786100000E+00  -7.7937500000E+00  -2.1911300000E+00  -2.1911300000E+00   1.5670000000E-01   5.1104000000E-01   1.0635000000E+01   1.0635000000E+01   1.1910030000E+01
56  -8.1931300000E+00  -7.8932800000E+00  -2.0348500000E+00  -2.0348500000E+00   2.7754000000E-01   6.5703000000E-01   1.0336670000E+01   1.0336670000E+01   1.1945170000E+01
57  -8.2160100000E+00  -7.9888300000E+00  -1.8728400000E+00  -1.8728400000E+00   4.1077000000E-01   8.0120000000E-01   1.0033330000E+01   1.0033330000E+01   1.1965400000E+01
58  -8.2462500000E+00  -8.0803600000E+00  -1.7050800000E+00  -1.7050800000E+00   5.5549000000E-01   9.4314000000E-01   9.7256900000E+00   9.7256900000E+00   1.1970440000E+01
59  -8.2828200000E+00  -8.1678300000E+00  -1.5315900000E+00  -1.5315900000E+00   7.1064000000E-01   1.0824400000E+00   9.4144200000E+00   9.4144200000E+00   1.1960240000E+01
60  -8.3246700000E+00  -8.2512000000E+00  -1.3523700000E+00  -1.3523700000E+00   8.7510000000E-01   1.2186900000E+00   9.1001800000E+00   9.1001800000E+00   1.1934960000E+01
