-73.62 -38.356 -37.768 -37.768 -5.274 -4.28 4.82 4.82 1.967 4.692 12.57 12.57
-73.618 -38.367 -37.772 -37.772 -5.295 -4.311 4.962 4.962 2.139 4.724 12.367 12.367
-73.617 -38.376 -37.776 -37.776 -5.315 -4.34 5.095 5.095 2.3 4.753 12.181 12.181
-73.616 -38.384 -37.779 -37.779 -5.333 -4.364 5.216 5.216 2.448 4.778 12.013 12.013
-73.615 -38.39 -37.782 -37.782 -5.349 -4.385 5.324 5.324 2.58 4.8 11.865 11.865
-73.614 -38.396 -37.785 -37.785 -5.362 -4.402 5.416 5.416 2.692 4.817 11.741 11.741
-73.614 -38.401 -37.786 -37.786 -5.373 -4.415 5.491 5.491 2.782 4.831 11.641 11.641
-73.613 -38.404 -37.788 -37.788 -5.381 -4.424 5.545 5.545 2.849 4.841 11.568 11.568
-73.613 -38.406 -37.788 -37.788 -5.385 -4.43 5.579 5.579 2.889 4.847 11.523 12.551
-73.613 -38.406 -37.789 -37.789 -5.387 -4.432 5.59 5.59 2.903 4.849 11.508 12.53
-73.613 -38.406 -37.789 -37.788 -5.383 -4.429 2.881 5.587 5.616 4.839 11.459 11.523
-73.613 -38.405 -37.792 -37.788 -5.372 -4.419 2.816 5.579 5.692 4.808 11.331 11.569
-73.613 -38.402 -37.796 -37.787 -5.353 -4.403 2.716 5.564 5.81 4.758 11.154 11.643
-73.613 -38.399 -37.801 -37.785 -5.327 -4.38 2.587 5.543 5.964 4.689 10.949 11.746
-73.613 -38.395 -37.807 -37.783 -5.295 -4.351 2.438 5.517 6.145 4.604 10.727 11.874
-73.613 -38.39 -37.815 -37.781 -5.256 -4.316 2.274 5.486 6.349 4.504 10.494 12.027
-73.613 -38.384 -37.825 -37.778 -5.21 -4.273 2.1 5.448 6.568 4.392 10.256 12.202
-73.613 -38.377 -37.836 -37.774 -5.159 -4.225 1.921 5.405 6.802 4.269 10.014 12.396
-73.613 -38.37 -37.848 -37.771 -5.103 -4.169 1.738 5.357 7.045 4.138 9.771 12.609
-73.613 -38.361 -37.861 -37.767 -5.043 -4.107 1.553 5.303 7.298 4.001 9.529 12.837
-73.613 -38.352 -37.874 -37.762 -4.978 -4.039 1.368 5.244 7.558 3.859 9.289 13.08
-73.613 -38.342 -37.889 -37.757 -4.909 -3.965 1.184 5.18 7.824 3.712 9.053 13.336
-73.613 -38.331 -37.904 -37.752 -4.837 -3.886 1.002 5.112 8.094 3.564 8.822 13.658
-73.613 -38.32 -37.921 -37.747 -4.763 -3.801 0.822 5.038 8.37 3.414 8.597 13.663
-73.614 -38.308 -37.938 -37.741 -4.686 -3.713 0.645 4.96 8.648 3.264 8.38 13.654
-73.614 -38.295 -37.955 -37.735 -4.607 -3.621 0.472 4.878 8.931 3.115 8.172 13.631
-73.614 -38.281 -37.972 -37.729 -4.525 -3.527 0.303 4.792 9.217 2.968 7.974 13.594
-73.615 -38.267 -37.99 -37.722 -4.443 -3.432 0.139 4.702 9.505 2.822 7.788 13.545
-73.615 -38.252 -38.007 -37.715 -4.358 -3.338 -0.021 4.608 9.795 2.679 7.614 13.485
-73.615 -38.236 -38.024 -37.708 -4.272 -3.245 -0.177 4.511 10.089 2.54 7.454 13.414
-73.615 -38.236 -38.024 -37.708 -4.272 -3.245 -0.177 2.54 4.511 7.454 10.089 13.414
-73.616 -38.221 -38.041 -37.701 -4.191 -3.161 -0.318 2.413 4.417 7.318 10.365 13.338
-73.616 -38.205 -38.056 -37.694 -4.109 -3.081 -0.454 2.288 4.32 7.196 10.642 13.254
-73.617 -38.19 -38.072 -37.687 -4.026 -3.006 -0.586 2.168 4.221 7.088 10.921 13.163
-73.618 -38.173 -38.086 -37.679 -3.944 -2.937 -0.713 2.052 4.119 6.995 11.2 13.065
-73.619 -38.156 -38.1 -37.672 -3.862 -2.875 -0.835 1.94 4.015 6.918 11.481 12.962
-73.62 -38.139 -38.114 -37.664 -3.782 -2.82 -0.952 1.833 3.91 6.856 11.761 12.856
-73.621 -38.122 -38.126 -37.656 -3.705 -2.773 -1.064 1.73 3.802 6.809 12.043 12.747
-73.622 -38.104 -38.138 -37.649 -3.631 -2.731 -1.171 1.632 3.694 6.777 12.324 12.638
-73.623 -38.086 -38.149 -37.641 -3.565 -2.694 -1.273 1.539 3.583 6.757 12.606 12.529
-73.624 -38.068 -38.159 -37.633 -3.507 -2.66 -1.369 1.451 3.472 6.748 12.887 12.424
-73.625 -38.05 -38.167 -37.625 -3.463 -2.624 -1.46 1.368 3.36 6.748 13.168 12.326
-73.627 -38.031 -38.175 -37.617 -3.435 -2.584 -1.545 1.291 3.246 6.753 13.449 12.237
-73.628 -38.012 -38.18 -37.609 -3.427 -2.536 -1.625 1.218 3.133 6.76 13.729 12.161
-73.63 -37.993 -38.185 -37.602 -3.44 -2.478 -1.699 1.152 3.019 6.765 14.008 12.101
-73.632 -37.975 -38.188 -37.594 -3.474 -2.409 -1.768 1.09 2.904 6.764 14.285 12.061
-73.634 -37.956 -38.19 -37.586 -3.528 -2.331 -1.831 1.035 2.79 6.752 14.56 12.044
-73.635 -37.937 -38.19 -37.578 -3.599 -2.246 -1.889 0.984 2.675 6.726 14.833 12.053
-73.638 -37.918 -38.189 -37.571 -3.686 -2.154 -1.941 0.94 2.561 6.683 15.103 12.091
-73.64 -37.899 -38.187 -37.563 -3.785 -2.058 -1.987 0.901 2.448 6.621 15.371 12.157
-73.642 -37.88 -38.183 -37.556 -3.896 -1.958 -2.028 0.867 2.334 6.538 15.634 12.251
-73.644 -37.861 -38.178 -37.548 -4.016 -1.855 -2.063 0.839 2.222 6.435 15.893 12.37
-73.647 -37.842 -38.171 -37.541 -4.144 -1.751 -2.093 0.816 2.11 6.315 16.146 12.511
-73.649 -37.824 -38.162 -37.534 -4.279 -1.645 -2.117 0.799 1.999 6.177 16.392 12.669
-73.652 -37.806 -38.153 -37.527 -4.42 -1.54 -2.136 0.787 1.89 6.024 16.63 12.839
-73.654 -37.788 -38.141 -37.521 -4.566 -1.434 -2.149 0.781 1.781 5.86 16.552 13.013
-73.657 -37.77 -38.128 -37.514 -4.716 -1.329 -2.157 0.78 1.674 5.686 13.186 16.627
-73.66 -37.752 -38.113 -37.507 -4.87 -1.224 -2.159 0.784 1.569 5.504 13.352 16.743
-73.663 -37.734 -38.098 -37.501 -5.026 -1.122 -2.156 0.793 1.465 5.317 13.506 16.903
-73.666 -37.717 -38.081 -37.495 -5.184 -1.021 -2.148 0.808 1.363 5.127 13.644 17.107
-73.669 -37.7 -38.062 -37.489 -5.344 -0.923 -2.135 0.827 1.262 4.936 13.767 17.355
-73.672 -37.684 -38.043 -37.483 -5.504 -0.828 -2.117 0.851 1.164 4.743 13.875 17.644
-73.675 -37.668 -38.023 -37.478 -5.665 -0.736 -2.095 0.88 1.067 4.554 13.97 17.689
-73.678 -37.652 -38.001 -37.473 -5.826 -0.649 -2.067 0.913 0.973 4.367 14.055 17.576
-73.681 -37.637 -37.979 -37.468 -5.986 -0.566 -2.036 0.95 0.881 4.185 14.134 17.418
-73.684 -37.622 -37.955 -37.463 -6.146 -0.488 -1.999 0.992 0.79 4.008 14.209 17.237
-73.687 -37.607 -37.93 -37.458 -6.304 -0.416 -1.959 1.037 0.703 3.839 14.284 17.041
