-14.5868 -14.5158 -1.4228 -0.4128 -8.9068 -4.1498 -8.8438 -4.0858
-14.5838 -14.5128 -1.4178 -0.4088 -8.9038 -4.1698 -8.8398 -4.1048
-14.5788 -14.5078 -1.4088 -0.4028 -8.8978 -4.2018 -8.8338 -4.1368
-14.5708 -14.5008 -1.3968 -0.3948 -8.8888 -4.2458 -8.8248 -4.1808
-14.5618 -14.4908 -1.3798 -0.3838 -8.8778 -4.3028 -8.8128 -4.2358
-14.5498 -14.4798 -1.3608 -0.3718 -8.8648 -4.3708 -8.7988 -4.3028
-14.5358 -14.4668 -1.3378 -0.3568 -8.8488 -4.4488 -8.7828 -4.3808
-14.5208 -14.4518 -1.3108 -0.3388 -8.8298 -4.5368 -8.7638 -4.4678
-14.5028 -14.4348 -1.2818 -0.3208 -8.8098 -4.6348 -8.7418 -4.5648
-14.4838 -14.4158 -1.2488 -0.2998 -8.7868 -4.7398 -8.7178 -4.6688
-14.4628 -14.3958 -1.2118 -0.2768 -8.7608 -4.8528 -8.6918 -4.7808
-14.4408 -14.3748 -1.1728 -0.2538 -8.7338 -4.9728 -8.6628 -4.8998
-14.4168 -14.3518 -1.1298 -0.2278 -8.7038 -5.0978 -8.6308 -5.0238
-14.3908 -14.3268 -1.0848 -0.2018 -8.6708 -5.2268 -8.5978 -5.1528
-14.3648 -14.3018 -1.0368 -0.1758 -8.6368 -5.3598 -8.5608 -5.2848
-14.3368 -14.2758 -0.9858 -0.1488 -8.6008 -5.4958 -8.5228 -5.4208
-14.3088 -14.2488 -0.9328 -0.1208 -8.5618 -5.6338 -8.4818 -5.5578
-14.2788 -14.2218 -0.8778 -0.0938 -8.5218 -5.7718 -8.4398 -5.6968
-14.2498 -14.1938 -0.8208 -0.0678 -8.4788 -5.9108 -8.3948 -5.8358
-14.2198 -14.1658 -0.7608 -0.0428 -8.4358 -6.0478 -8.3478 -5.9748
-14.1898 -14.1388 -0.7008 -0.0198 -8.3898 -6.1838 -8.2988 -6.1118
-14.1608 -14.1118 -0.6388 0.0012 -8.3438 -6.3158 -8.2488 -6.2468
-14.1318 -14.0868 -0.5758 0.0192 -8.2968 -6.4438 -8.1978 -6.3778
-14.1038 -14.0618 -0.5128 0.0332 -8.2498 -6.5668 -8.1448 -6.5048
-14.0778 -14.0398 -0.4498 0.0432 -8.2028 -6.6818 -8.0918 -6.6258
-14.0528 -14.0188 -0.3878 0.0492 -8.1568 -6.7898 -8.0398 -6.7388
-14.0298 -14.0008 -0.3268 0.0492 -8.1138 -6.8858 -7.9898 -6.8438
-14.0098 -13.9858 -0.2668 0.0422 -8.0758 -6.9698 -7.9418 -6.9368
-13.9928 -13.9738 -0.2098 0.0282 -8.0428 -7.0388 -7.8998 -7.0158
-13.9788 -13.9658 -0.1558 0.0072 -8.0188 -7.0898 -7.8668 -7.0768
-13.9688 -13.9618 -0.1058 -0.0228 -8.0038 -7.1198 -7.8458 -7.1148
-13.9628 -13.9628 -0.0598 -0.0608 -7.9988 -7.1288 -7.8388 -7.1288
-13.9628 -13.9628 -0.0608 -0.0598 -7.9988 -7.8388 -7.1288 -7.1288
-13.9688 -13.9618 -0.1068 -0.0218 -8.0028 -7.8448 -7.1188 -7.1188
-13.9798 -13.9658 -0.1608 0.0112 -8.0118 -7.8598 -7.0888 -7.0908
-13.9968 -13.9738 -0.2238 0.0362 -8.0238 -7.8798 -7.0428 -7.0488
-14.0188 -13.9878 -0.2958 0.0542 -8.0348 -7.8998 -6.9838 -6.9958
-14.0458 -14.0068 -0.3768 0.0642 -8.0428 -7.9178 -6.9168 -6.9328
-14.0798 -14.0308 -0.4648 0.0662 -8.0458 -7.9308 -6.8418 -6.8628
-14.1188 -14.0618 -0.5618 0.0582 -8.0428 -7.9368 -6.7608 -6.7868
-14.1638 -14.0968 -0.6648 0.0402 -8.0318 -7.9348 -6.6758 -6.7058
-14.2148 -14.1388 -0.7758 0.0132 -8.0138 -7.9248 -6.5868 -6.6198
-14.2708 -14.1858 -0.8918 -0.0228 -7.9858 -7.9058 -6.4938 -6.5298
-14.3318 -14.2378 -1.0138 -0.0678 -7.9508 -7.8788 -6.3978 -6.4368
-14.3988 -14.2948 -1.1408 -0.1218 -7.9068 -7.8418 -6.2998 -6.3408
-14.4688 -14.3558 -1.2718 -0.1838 -7.8538 -7.7958 -6.1988 -6.2428
-14.5438 -14.4218 -1.4068 -0.2538 -7.7928 -7.7418 -6.0958 -6.1408
-14.6218 -14.4918 -1.5448 -0.3298 -7.7238 -7.6798 -5.9898 -6.0378
-14.7038 -14.5658 -1.6848 -0.4128 -7.6468 -7.6088 -5.8828 -5.9318
-14.7878 -14.6418 -1.8278 -0.5008 -7.5628 -7.5298 -5.7738 -5.8238
-14.8748 -14.7208 -1.9718 -0.5938 -7.4718 -7.4438 -5.6628 -5.7138
-14.9638 -14.8028 -2.1158 -0.6918 -7.3738 -7.3508 -5.5498 -5.6018
-15.0548 -14.8868 -2.2618 -0.7928 -7.2688 -7.2508 -5.4358 -5.4888
-15.1468 -14.9728 -2.4068 -0.8958 -7.1588 -7.1448 -5.3198 -5.3738
